time_s,actual_x,actual_y,actual_yaw,cte_m
0.2245,-0.0000,0.0000,-0.0000,0.0000
55.0248,0.0248,0.0002,0.0073,0.0412
55.2243,0.0534,0.0008,0.0224,0.0443
55.3245,0.0769,0.0017,0.0373,0.0465
55.5247,0.1148,0.0037,0.0647,0.0495
55.6257,0.1433,0.0059,0.0888,0.0510
55.8245,0.1977,0.0121,0.1375,0.0520
55.9245,0.2277,0.0167,0.1667,0.0572
56.0248,0.2506,0.0208,0.1890,0.0622
56.1242,0.2823,0.0273,0.2194,0.0683
56.2246,0.3066,0.0330,0.2422,0.0723
56.3242,0.3563,0.0467,0.2968,0.0787
56.4248,0.3803,0.0544,0.3258,0.0807
56.5246,0.4117,0.0656,0.3642,0.0843
56.6276,0.4425,0.0780,0.4008,0.0931
56.7260,0.4729,0.0915,0.4376,0.1009
56.8270,0.5032,0.1062,0.4722,0.1076
56.9247,0.5333,0.1234,0.5083,0.1122
57.0244,0.5552,0.1448,0.5360,0.1086
57.1256,0.5986,0.1722,0.5868,0.1156
57.2249,0.6335,0.1966,0.6359,0.1281
57.3246,0.6674,0.2228,0.6820,0.1390
57.4247,0.6938,0.2450,0.7183,0.1464
57.5264,0.7122,0.2615,0.7441,0.1510
57.6241,0.7439,0.2919,0.7882,0.0027
57.7253,0.7690,0.3179,0.8204,0.0014
57.8246,0.7931,0.3445,0.8546,0.0042
57.9261,0.8157,0.3714,0.8861,0.0058
58.0244,0.8379,0.3994,0.9114,0.0096
58.1243,0.8599,0.4284,0.9352,0.0153
58.2245,0.8817,0.4434,0.9593,0.0274
58.3257,0.9080,0.4774,0.9836,0.0345
58.4241,0.9285,0.5089,1.0004,0.0378
58.5248,0.9480,0.5398,1.0145,0.0403
58.6251,0.9678,0.5721,1.0238,0.0426
58.7243,0.9920,0.6128,1.0353,0.0448
58.8249,1.0160,0.6544,1.0456,0.0464
58.9253,1.0303,0.6795,1.0512,0.0472
59.0244,1.0445,0.7049,1.0559,0.0478
59.1244,1.0679,0.7474,1.0638,0.0484
59.2244,1.0865,0.7819,1.0701,0.0486
59.3244,1.1049,0.8164,1.0763,0.0485
59.4249,1.1228,0.8504,1.0834,0.0483
59.5254,1.1453,0.8933,1.0925,0.0476
59.6244,1.1628,0.9275,1.1001,0.0465
