time_s,cmd_vx,odom_vx,cmd_delta,odom_delta
54.5550,0.0280,0.0000,0.2912,0.0000
54.6063,0.0280,0.0000,0.2912,0.0000
54.6564,0.0656,0.0050,0.4998,0.0000
54.7032,0.0656,0.0947,0.4998,0.0677
54.7560,0.1192,0.0435,0.6109,0.0431
54.8051,0.1192,0.0929,0.6109,0.0353
54.8545,0.1674,0.1037,0.6109,0.1112
54.9072,0.1674,0.1008,0.6109,0.1866
54.9553,0.2084,0.1019,0.6109,0.2800
55.0035,0.2084,0.1386,0.6109,0.2699
55.0557,0.2406,0.1576,0.6109,0.2459
55.1061,0.2406,0.2242,0.6109,0.2335
55.1588,0.2684,0.2217,0.6109,0.2562
55.2087,0.2684,0.2211,0.6109,0.2999
55.2535,0.2921,0.2182,0.6109,0.3077
55.3069,0.2921,0.2343,0.6109,0.3276
55.3545,0.3143,0.2544,0.6109,0.3176
55.4044,0.3143,0.2550,0.6109,0.3441
55.4533,0.3385,0.2922,0.6109,0.3403
55.5042,0.3385,0.2856,0.6109,0.3635
55.5539,0.3694,0.2573,0.6109,0.4362
55.6031,0.3694,0.3183,0.6109,0.3605
55.6550,0.3990,0.3070,0.6109,0.4343
55.7126,0.3990,0.3196,0.6109,0.4317
55.7541,0.4290,0.3247,0.6109,0.4411
55.8072,0.4290,0.3899,0.6109,0.3894
55.8532,0.4566,0.3684,0.6109,0.4492
55.9079,0.4566,0.3915,0.6109,0.4422
55.9552,0.4801,0.3927,0.6109,0.4290
56.0044,0.4801,0.3856,0.6109,0.4589
56.0590,0.4956,0.4026,0.6109,0.4441
56.1081,0.4956,0.4070,0.6109,0.4361
56.1531,0.5000,0.4165,0.6109,0.4259
56.2033,0.5000,0.4131,0.6109,0.4397
56.2551,0.5000,0.4294,0.6109,0.4741
56.3033,0.5000,0.4391,0.6109,0.5005
56.3544,0.5000,0.4201,0.6109,0.5211
56.4039,0.5000,0.4337,0.6109,0.5218
56.4534,0.5000,0.4172,0.6109,0.5187
56.5066,0.5000,0.4101,0.6109,0.5234
56.5536,0.5000,0.4174,0.6109,0.5164
56.6061,0.5000,0.4116,0.6109,0.4959
56.6541,0.5000,0.4093,0.6109,0.4935
56.7041,0.5000,0.4235,0.6109,0.5139
56.7530,0.5000,0.4111,0.6109,0.4623
56.8038,0.5000,0.4318,0.6109,0.4861
56.8547,0.5000,0.4304,0.6109,0.4746
56.9088,0.5000,0.4203,0.6109,0.5115
56.9556,0.5000,0.4226,0.6109,0.4955
57.0055,0.5000,0.4347,0.6109,0.4855
57.0535,0.5000,0.4249,0.6013,0.4124
57.1033,0.5000,0.4241,0.6013,0.4868
57.1531,0.5000,0.4348,0.5668,0.5228
57.2038,0.5000,0.4141,0.5668,0.5232
57.2585,0.5000,0.4228,0.5284,0.4914
57.3056,0.5000,0.4300,0.5284,0.4921
57.3567,0.5000,0.4379,0.4886,0.4817
57.4032,0.5000,0.4212,0.4886,0.4748
57.4541,0.5000,0.4249,0.4466,0.4771
57.5029,0.5000,0.4170,0.4466,0.4787
57.5531,0.5000,0.4455,0.4091,0.4395
57.6031,0.5000,0.4194,0.4091,0.4904
57.6547,0.5000,0.4716,0.3873,0.3991
57.7035,0.5000,0.4315,0.3873,0.4490
57.7559,0.5000,0.4551,0.3695,0.4342
57.8049,0.5000,0.4401,0.3695,0.4595
57.8540,0.5000,0.4407,0.3535,0.4209
57.9041,0.5000,0.4395,0.3535,0.4092
57.9578,0.5000,0.4512,0.3351,0.3513
58.0045,0.5000,0.4458,0.3351,0.3231
58.0537,0.5000,0.4532,0.2683,0.3433
58.1060,0.5000,0.4565,0.2683,0.2865
58.1555,0.5000,0.4622,0.2265,0.3063
58.2037,0.5000,0.4744,0.2265,0.3212
58.2531,0.5000,0.4493,0.1887,0.2961
58.3032,0.5000,0.4875,0.1887,0.2194
58.3534,0.5000,0.4640,0.1559,0.2376
58.4046,0.5000,0.4922,0.1559,0.1927
58.4554,0.5000,0.4740,0.1176,0.1869
58.5062,0.5000,0.4534,0.1176,0.1786
58.5602,0.5000,0.4724,0.0996,0.1224
58.6035,0.5000,0.4718,0.0996,0.1321
58.6552,0.5000,0.4738,0.0910,0.1163
58.7030,0.5000,0.4773,0.0910,0.1094
58.7559,0.5000,0.4779,0.0847,0.1114
58.8062,0.5000,0.4804,0.0847,0.1037
58.8568,0.5000,0.4807,0.0725,0.1008
58.9062,0.5000,0.4829,0.0725,0.0959
58.9538,0.5000,0.4845,0.0733,0.0901
59.0038,0.5000,0.4856,0.0733,0.0743
59.0577,0.5000,0.4855,0.0785,0.0859
59.1053,0.5000,0.4835,0.0785,0.0817
59.1539,0.5000,0.4892,0.0879,0.0916
59.2030,0.5000,0.4888,0.0879,0.0808
59.2532,0.5000,0.4888,0.0897,0.0913
